"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"4100044","2017-09-01T00:20:00","21.60","-58.60",,,"1","4","2","5",,,,"11",,"70","1","50",,,,,"10176",,,"8","284",,,"235",,,,,,,,,,,,,,,"244","18","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,,,,,
"4100044","2017-09-01T00:30:00","21.60","-58.60",,,"1","4","2","5",,,,"11",,"60","1","50",,,,,"10177",,,"8","284",,,"235",,,,,,,,,,,,,,,"244","18","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,,,,,
"4100606","2017-09-01T00:30:00","24.88","-51.77",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244","41","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,
"4300577","2017-09-01T00:30:00","21.69","-53.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,,"244","13","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"1300528","2017-09-01T00:33:00","25.93","-57.98",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","292",,,,,,,,,,,,,"244","57","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"1300516","2017-09-01T00:34:00","28.18","-51.98",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","287",,,,,,,,,,,,,"244","81","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"4100954","2017-09-01T00:34:00","22.20","-52.55",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244","22","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,
"1300516","2017-09-01T00:38:00","28.18","-51.98",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","287",,,,,,,,,,,,,"244","81","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"1300528","2017-09-01T00:39:00","25.92","-57.99",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","292",,,,,,,,,,,,,"244","57","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"4100954","2017-09-01T00:39:00","22.20","-52.55",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244","22","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,
"4100044","2017-09-01T00:40:00","21.60","-58.60",,,"1","4","2","5",,,,"11",,"50","1","50",,,,,"10177",,,"8","284",,,"237",,,,,,,,,,,,,,,"244","18","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,,,,,
"1300516","2017-09-01T00:41:00","28.18","-51.98",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","287",,,,,,,,,,,,,"244","81","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"4100044","2017-09-01T00:50:00","21.60","-58.60",,,"1","4",,"0",,,,"11","0","60","1","50",,,,,"10178",,,,"284",,,"233",,,,,,,,,,"5","1","6","8","2","244","18","793","103","6","1","2","1","F11111","11AAA11A1AA11A",,,"6",,,,,,,,,,,,,"4"
"1300869","2017-09-01T01:00:00","24.37","-59.60",,,"1","4","2","5",,,,"11",,,,,,,,,"10182",,,"8",,,,,"9","292",,,,,,,,,,,,,"244","49","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4100044","2017-09-01T01:00:00","21.60","-58.60",,,"1","4","2","5",,,,"11",,"60","1","50",,,,,"10180","3","9","8","285",,,"236",,,,,,,,,,,,,,,"244","18","798","172","6","1","2","1","F11111","11AAA11A1AAAA1",,,,,,,,,,,,,,,,
"4101702","2017-09-01T01:00:00","26.75","-54.74",,,"1","4","2","5",,,,"11",,,,,,,,,"10181",,,"8",,,,,"9","288",,,,,,,,,,,,,"244","64","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4101703","2017-09-01T01:00:00","25.65","-57.64",,,"1","4","2","5",,,,"11",,,,,,,,,"10185",,,"8",,,,,"9","290",,,,,,,,,,,,,"244","57","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4101713","2017-09-01T01:00:00","28.58","-57.54",,,"1","4","2","5",,,,"11",,,,,,,,,"10168",,,"8",,,,,"9","291",,,,,,,,,,,,,"244","87","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4101741","2017-09-01T01:00:00","23.64","-58.47",,,"1","4","2","5",,,,"11",,,,,,,,,"10187",,,"8",,,,,"9","292",,,,,,,,,,,,,"244","38","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4400768","2017-09-01T01:00:00","26.73","-55.84",,,"1","4","2","5",,,,"11",,,,,,,,,"10183",,,"8",,,,,"9","288",,,,,,,,,,,,,"244","65","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4400848","2017-09-01T01:00:00","28.60","-59.49",,,"1","4","2","5",,,,"11",,,,,,,,,"10169",,,"8",,,,,"9","293",,,,,,,,,,,,,"244","89","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4100044","2017-09-01T01:10:00","21.60","-58.60",,,"1","4","2","5",,,,"11",,"60","1","50",,,,,"10179",,,"8","284",,,"234",,,,,,,,,,,,,,,"244","18","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,,,,,
"4100606","2017-09-01T01:15:00","24.87","-51.78",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244","41","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,
"4300577","2017-09-01T01:15:00","21.69","-53.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,,"244","13","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"4100044","2017-09-01T01:20:00","21.60","-58.60",,,"1","4","2","5",,,,"11",,"60","1","50",,,,,"10179",,,"8","284",,,"234",,,,,,,,,,,,,,,"244","18","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,,,,,
"1300528","2017-09-01T01:25:00","25.92","-57.99",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","292",,,,,,,,,,,,,"244","57","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"1300516","2017-09-01T01:28:00","28.18","-51.96",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","287",,,,,,,,,,,,,"244","81","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"4100954","2017-09-01T01:28:00","22.20","-52.55",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244","22","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,
"4100044","2017-09-01T01:30:00","21.60","-58.60",,,"1","4",,"0",,,,"11","0","60","1","50",,,,,"10180",,,,"284",,,"235",,,,,,,,,,,,,,,"244","18","793","103","6","1","2","1","F11111","11AAA11A1AAAAA",,,"6",,,,,,,,,,,,,"4"
"4100606","2017-09-01T01:30:00","24.87","-51.78",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244","41","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,
"4300577","2017-09-01T01:30:00","21.69","-53.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,,"244","13","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"1300516","2017-09-01T01:32:00","28.18","-51.97",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","287",,,,,,,,,,,,,"244","81","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"4100954","2017-09-01T01:32:00","22.20","-52.55",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244","22","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,
"4100044","2017-09-01T01:40:00","21.60","-58.60",,,"1","4","2","5",,,,"11",,"70","1","50",,,,,"10181",,,"8","284",,,"235",,,,,,,,,,,,,,,"244","18","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,,,,,
"4100044","2017-09-01T01:50:00","21.60","-58.60",,,"1","4",,"0",,,,"11","0","70","1","50",,,,,"10180",,,,"284",,,"235",,,,,,,,,,"4","1","4","10","2","244","18","793","103","6","1","2","1","F11111","11AAA11A1AA11A",,,"6",,,,,,,,,,,,,"4"
"1300869","2017-09-01T02:00:00","24.37","-59.60",,,"1","4","2","5",,,,"11",,,,,,,,,"10181",,,"8",,,,,"9","291",,,,,,,,,,,,,"244","49","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4100044","2017-09-01T02:00:00","21.60","-58.60",,,"1","4","2","5",,,,"11",,"70","1","50",,,,,"10179","2","6","8","281",,,"236",,,,,,,,,,,,,,,"244","18","798","172","6","1","2","1","F11111","11AAA11A1AAAA1",,,,,,,,,,,,,,,,
"4100606","2017-09-01T02:00:00","24.87","-51.78",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244","41","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,
"4101702","2017-09-01T02:00:00","26.75","-54.75",,,"1","4","2","5",,,,"11",,,,,,,,,"10180",,,"8",,,,,"9","287",,,,,,,,,,,,,"244","64","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
